Airi Satou,Accountant,Tokyo,33,11/28/2008,"$162,700 ",https://skilledup.ir
Angelica Ramos,Chief Executive Officer (CEO),London,47,10/9/2009,"$1,200,000 ",https://skilledup.ir
Ashton Cox,Junior Technical Author,San Francisco,66,1/12/2009,"$86,000 ",https://skilledup.ir
Bradley Greer,Software Engineer,London,41,10/13/2012,"$132,000 ",https://skilledup.ir
Brenden Wagner,Software Engineer,San Francisco,28,6/7/2011,"$206,850 ",https://skilledup.ir
Brielle Williamson,Integration Specialist,New York,61,12/2/2012,"$372,000 ",https://skilledup.ir
Bruno Nash,Software Engineer,London,38,5/3/2011,"$163,500 ",https://skilledup.ir
Caesar Vance,Pre-Sales Support,New York,21,12/12/2011,"$106,450 ",https://skilledup.ir
Cara Stevens,Sales Assistant,New York,46,12/6/2011,"$145,600 ",https://skilledup.ir
Cedric Kelly,Senior Javascript Developer,Edinburgh,22,3/29/2012,"$433,060 ",https://skilledup.ir
Charde Marshall,Regional Director,San Francisco,36,10/16/2008,"$470,600 ",https://skilledup.ir
Colleen Hurst,Javascript Developer,San Francisco,39,9/15/2009,"$205,500 ",https://skilledup.ir
Dai Rios,Personnel Lead,Edinburgh,35,9/26/2012,"$217,500 ",https://skilledup.ir
Donna Snider,Customer Support,New York,27,1/25/2011,"$112,000 ",https://skilledup.ir
Doris Wilder,Sales Assistant,Sidney,23,9/20/2010,"$85,600 ",https://skilledup.ir
Finn Camacho,Support Engineer,San Francisco,47,7/7/2009,"$87,500 ",https://skilledup.ir
Fiona Green,Chief Operating Officer (COO),San Francisco,48,3/11/2010,"$850,000 ",https://skilledup.ir
Garrett Winters,Accountant,Tokyo,63,7/25/2011,"$170,750 ",https://skilledup.ir
Gavin Cortez,Team Leader,San Francisco,22,10/26/2008,"$235,500 ",https://skilledup.ir
Gavin Joyce,Developer,Edinburgh,42,12/22/2010,"$92,575 ",https://skilledup.ir
Gloria Little,Systems Administrator,New York,59,4/10/2009,"$237,500 ",https://skilledup.ir
Haley Kennedy,Senior Marketing Designer,London,43,12/18/2012,"$313,500 ",https://skilledup.ir
Hermione Butler,Regional Director,London,47,3/21/2011,"$356,250 ",https://skilledup.ir
Herrod Chandler,Sales Assistant,San Francisco,59,8/6/2012,"$137,500 ",https://skilledup.ir
Hope Fuentes,Secretary,San Francisco,41,2/12/2010,"$109,850 ",https://skilledup.ir
Howard Hatfield,Office Manager,San Francisco,51,12/16/2008,"$164,500 ",https://skilledup.ir
Jackson Bradshaw,Director,New York,65,9/26/2008,"$645,750 ",https://skilledup.ir
Jena Gaines,Office Manager,London,30,12/19/2008,"$90,560 ",https://skilledup.ir
Jenette Caldwell,Development Lead,New York,30,9/3/2011,"$345,000 ",https://skilledup.ir
Jennifer Acosta,Junior Javascript Developer,Edinburgh,43,2/1/2013,"$75,650 ",https://skilledup.ir
Quinn Flynn,Support Lead,Edinburgh,22,3/3/2013,"$342,000 ",https://skilledup.ir
Rhona Davidson,Integration Specialist,Tokyo,55,10/14/2010,"$327,900 ",https://skilledup.ir
Sakura Yamamoto,Support Engineer,Tokyo,37,8/19/2009,"$139,575 ",https://skilledup.ir
Serge Baldwin,Data Coordinator,Singapore,64,4/9/2012,"$138,575 ",https://skilledup.ir
Shad Decker,Regional Director,Edinburgh,51,11/13/2008,"$183,000 ",https://skilledup.ir
Shou Itou,Regional Marketing,Tokyo,20,8/14/2011,"$163,000 ",https://skilledup.ir
Sonya Frost,Software Engineer,Edinburgh,23,12/13/2008,"$103,600 ",https://skilledup.ir
Suki Burks,Developer,London,53,10/22/2009,"$114,500 ",https://skilledup.ir
Tatyana Fitzpatrick,Regional Director,London,19,3/17/2010,"$385,750 ",https://skilledup.ir
Thor Walton,Developer,New York,61,8/11/2013,"$98,540 ",https://skilledup.ir
